書名,頁,目次（NDL公開目次を整理したものです、頁はPDF物理頁、コメントなどはfukkoku@est.co.jpまで）
bit 1969年03月号,1,表紙
bit 1969年03月号,3,現代の横顔――ある女性アナリスト
bit 1969年03月号,9,目次
bit 1969年03月号,11,提言……湯川秀樹
bit 1969年03月号,12,電子計算機とは① やりたい問題――構造はさておいて，まずコンピュータを動かすことを考えてみよう……小野勝章，伊理正夫
bit 1969年03月号,18,わたしと電子計算機……美濃部亮吉
bit 1969年03月号,19,プログラミング入門① プログラミングとは(1)――コンピュータとの対話はプログラミングのマスターから始まる……山本欣子
bit 1969年03月号,25,PL/I① 四則と簡単な入出力――「ピー・エル・ワン」という名の新しいプログラム言語の解説(中級向)……久保宏志
bit 1969年03月号,34,マニアックのジョニー――フォン・ノイマン物語……中村正弘
bit 1969年03月号,40,タイムシェアリング①……佐々木彬夫
bit 1969年03月号,48,論理設計① 論理回路の概要――論理素子と回路の関係からコンピュータの基礎理論を考える(中級向)……萩原宏，奥川俊二
bit 1969年03月号,55,市場調査の話① 市場調査の役割――市場での情報活動を分析し，その中から必要な情報を得る方法を説く……門山允
bit 1969年03月号,60,コンピュータくんの因数分解……渡辺隼郎
bit 1969年03月号,65,線形計画法① 線形計画模型――企業の生産活動を数式を使って処理してみると・・・・・　……藤川洋一郎
bit 1969年03月号,71,遺伝情報……小関治男
bit 1969年03月号,83,アレフ・ゼロ
bit 1969年03月号,84,ALGOLのゆくえ?……岩村聯
bit 1969年03月号,87,MIS――経営情報システム……宮川公男
bit 1969年03月号,94,ペントミノと計算機……槌本隆光，池田敏雄
bit 1969年03月号,96,コンピュータ紹介――TOSBAC-3400電子計算組織
bit 1969年03月号,98,コンピュータ・ニュース
bit 1969年03月号,100,ソフトくんハードさん――三井銀行の巻(解説92)
bit 1969年03月号,103,単語帖
bit 1969年03月号,104,ぶっくす
bit 1969年03月号,106,読者投稿規定，編集後記
bit 1969年04月号,1,表紙
bit 1969年04月号,3,実時間を現場に見る――郡山操車場
bit 1969年04月号,9,目次
bit 1969年04月号,11,bitへのメッセージ……アイザック・アシモフ
bit 1969年04月号,12,電子計算機とは② チェック計算――コンピュータの使い方をめぐる軽妙なダイアローグ……小野勝章，伊理正夫
bit 1969年04月号,18,プログラミング入門② プログラミングとは(2)――国際共通語としてのALGOL，FORTRAN，COBOLなどの解説……山本欣子
bit 1969年04月号,23,文学者の考え――コンピューターの笑い話……中島健蔵
bit 1969年04月号,24,Mona Lisaのほくそえみ?――コンピュータ・グラフィックスの話……丸山満
bit 1969年04月号,31,PL/I② 条件判定と反復――配列・条件判定・反復などの具体例をPL/Iを使って書くと・・・・・・(中級向)……久保宏志
bit 1969年04月号,36,論理設計② プール代数――ブール代数とは何か，回路素子の構成のうえで，なぜそれが必要か(中級向)……萩原宏，奥川俊二
bit 1969年04月号,42,数字あそび……槌本隆光
bit 1969年04月号,47,宇宙人との通信……森本雅樹
bit 1969年04月号,55,アレフ・ゼロ
bit 1969年04月号,56,コンピュータ紹介――HITAC10電子計算機
bit 1969年04月号,57,パラドックス異聞――大学紛争をめぐって……寺阪英孝
bit 1969年04月号,62,単語帖
bit 1969年04月号,65,タイムシェアリング② TSSの技術……佐々木彬夫
bit 1969年04月号,70,市場調査の話② 市場調査の手順――市場調査は単なるアンケートではない。情報化の意義を明らかにしよう……門山允
bit 1969年04月号,76,コンピュータ・ ニュース
bit 1969年04月号,78,線形計画法② 基本定理――最適解を求めるための線形計画法(LP)の手法を掘りさげる(2)……藤川洋一郎
bit 1969年04月号,84,ソフトくん・ハードさん――西武デパートの巻
bit 1969年04月号,86,ぶっくす
bit 1969年04月号,87,電子式プリンタ……窪田啓次郎
bit 1969年04月号,96,読者投稿規定，編集後記
bit 1969年05月号,1,表紙
bit 1969年05月号,3,情報を編集する――気象庁におけるEDPS
bit 1969年05月号,9,目次
bit 1969年05月号,11,無可有郷……吉田洋一
bit 1969年05月号,12,電子計算機とは③ FORTRANのプログラミング――フローチャートづくりからプログラムづくりへ・・・・・・FORTRANによる③……小野勝章，伊理正夫
bit 1969年05月号,19,プログラミング入門③ プログラミングの手順――システム設計から文書作成まで，プログラミングの流れを大きくとらえる③……山本欣子
bit 1969年05月号,23,インフォメーション組曲……福島好雄
bit 1969年05月号,29,芸術コンピュータ……横山泰三
bit 1969年05月号,30,アレフ ・ゼロ
bit 1969年05月号,31,PL/I③ データとその処理――COMPUTER・・・SCIENCEと書く文字データ(中級向)……久保宏志
bit 1969年05月号,38,ポリオミノ……池野信一
bit 1969年05月号,40,ぶっくす
bit 1969年05月号,41,論理設計③ 論理関数の簡単化(1)――表で論理関数を機械的に簡単化するクワインーマクラスキの方法とは(中級向)……萩原宏，奥川俊二
bit 1969年05月号,48,市場調査の話③ 市場調査の手順(2)――島の住人が1人も靴をはいていなければ，その島で靴は売れるか売れないか?……門山允
bit 1969年05月号,54,パスカル抄――計算機史の一断面……小堀憲
bit 1969年05月号,65,SCIENTIFIC APPLICATIONS① 科学技術と計算機――科学技術発達の背後にあるコンピュータの働きを各分野で具体的にとらえる①……飯坂譲二
bit 1969年05月号,70,コンピュータ紹介――MELCOM3100電子計算機システム
bit 1969年05月号,72,ドクタービット
bit 1969年05月号,73,コンピュータくんの順列生成……米田信夫
bit 1969年05月号,77,読者の広場
bit 1969年05月号,78,線形計画法③ 単体法――線形計画問題解法の有力な手法「単体法」の物理的意味を考えてみる（３）……藤川洋一郎
bit 1969年05月号,86,図解I/Oシリーズ――高速製表印字装置(1)
bit 1969年05月号,88,タイムシェアリング③ TSSの技術(2)……佐々木彬夫
bit 1969年05月号,93,単語帖
bit 1969年05月号,94,「数字あそび」後日譚
bit 1969年05月号,95,原稿募集
bit 1969年05月号,96,コンピュータ・ニュース
bit 1969年05月号,98,ソフトくん・ハードさん――朝日麦酒の巻
bit 1969年05月号,100,読者投稿規定，編集後記
bit 1969年06月号,1,表紙
bit 1969年06月号,3,紙テープが鋼材を切る――日立造船のNC方式
bit 1969年06月号,9,目次
bit 1969年06月号,11,生体の回路素子――タンパク質……渡辺格
bit 1969年06月号,12,電子計算機とは④――計算機にかける――プログラムに虫はいないか・・・・・・コンピュータから応答は?……小野勝章，伊理正夫
bit 1969年06月号,18,アレフ・ゼロ
bit 1969年06月号,19,プログラミング入門④――基本プログラミング――モデル計算機MODECと記号言語ESPOLによるプログラミング……山本欣子
bit 1969年06月号,25,考古学とコンピューター……三笠宮崇仁
bit 1969年06月号,26,市場調査の話④――市場調査の技法――ネーミング・テスト，CMテストなどの具体的手法を分析する……門山允
bit 1969年06月号,32,イリアック物語①……加賀美鉄雄，赤木昭夫
bit 1969年06月号,40,桂馬飛びパズル……池田敏雄
bit 1969年06月号,42,ぶっくす
bit 1969年06月号,47,教育工学とはなにか……宮脇一男
bit 1969年06月号,54,コンピュータ・ニュース
bit 1969年06月号,56,SCIENTIFIC APPLICATIONS②――ラボラトリー・オートメーション……飯坂譲二
bit 1969年06月号,61,単語帖
bit 1969年06月号,62,図解I/Oシリーズ②――カード読取・せん孔装置
bit 1969年06月号,64,ドクタービット
bit 1969年06月号,65,PL/I④――書式の設計――PL/Iでは，入出力の書式をどう設計するか(中級向)……久保宏志
bit 1969年06月号,73,読者の広場
bit 1969年06月号,74,私の名はプロッタ――MCCニュースより
bit 1969年06月号,77,論理設計④――論理関数の簡単化(2)――べイチ図表により論理関数を直観的に簡単化する方法とは(中級向)……萩原宏，奥川俊二
bit 1969年06月号,88,コンピュータ紹介――FACOM R
bit 1969年06月号,90,電子計算機学校紹介
bit 1969年06月号,92,線形計画法④――単体法の応用――LPの手法を用いて，輸送計画問題を具体的に解く・・・・・・ ……藤川洋一郎
bit 1969年06月号,98,ソフトくん・ハードさん――警察庁の巻
bit 1969年06月号,100,読者投稿規定，編集後記
bit 1969年07月号,1,表紙
bit 1969年07月号,3,水を治める――相模川水系のオンライン制御
bit 1969年07月号,11,目次
bit 1969年07月号,13,コンピュータ・サイエンスの教育……山内二郎
bit 1969年07月号,14,電子計算機とは⑤ 計算の実行――エラーメッセージよる訂正も済んで，いよいよ本番・・・・・・ ……小野勝章，伊理正夫
bit 1969年07月号,20,アレフ・ゼロ
bit 1969年07月号,21,プログラミング入門⑤ 入出力命令――計算機は命令を理解する。しかし号令をかける側に問題はないか……山本欣子
bit 1969年07月号,27,Mr.電算機の低俗さ……飯沢匡
bit 1969年07月号,28,市場調査の話⑤ 企業の意思決定と市場調査――意思決定こそ人間の特質である。それには情報の裏づけが必要である……門山允
bit 1969年07月号,34,単語貼
bit 1969年07月号,35,断章 クロード・E・シャノン……喜安善市
bit 1969年07月号,39,SCIENTIFIC APPLICATIONS③――化学分析の自動化……飯坂譲二
bit 1969年07月号,47,ナノピコ教室
bit 1969年07月号,48,ぶっくす
bit 1969年07月号,50,数理言語学のはなし……水谷静夫
bit 1969年07月号,58,桂馬飛びパズル②……池田敏雄
bit 1969年07月号,63,PL/I⑤ 関数とサブルーチン――サブルーチン――ある条件のもとで一定の機能をはたすプログラム(中級向)……久保宏志
bit 1969年07月号,70,コンピュータ・ニュース
bit 1969年07月号,72,OS入門①――オペレーティング・システムとは……浦昭二，原田賢一
bit 1969年07月号,78,ドクタービット
bit 1969年07月号,81,線形計画法⑤ 感度分析とパラメトリックLP――基礎データの値を変量と考え，現実問題へのアプローチを試みる……藤川洋一郎
bit 1969年07月号,88,図解I/Oシリーズ③――紙テープ入力・出力装置
bit 1969年07月号,90,論理設計⑤ NAND(NOR)回路――NOT-AND，NOT-ORの論理的性質を回路で実現すると(中級向)……萩原宏，奥川俊二
bit 1969年07月号,98,コンピュータ紹介――NEAC-シリーズ2200
bit 1969年07月号,100,読者の広場
bit 1969年08月号,1,表紙
bit 1969年08月号,3,bit誌上展――コンピュータ・グラフィックス
bit 1969年08月号,9,目次
bit 1969年08月号,11,コンピューター文化……彌永昌吉
bit 1969年08月号,12,電子計算機とは⑥ 実行プログラムの内容(1)――プログラムの内容を電子計算機の構造と結びつけて理解すると・・・・・・ ……小野勝章，伊理正夫
bit 1969年08月号,18,囲碁とコンピュータ……呉清源
bit 1969年08月号,19,単語帖
bit 1969年08月号,20,プログラミング入門⑥ 実数の演算と入出力――計算機の中で，実数はどのように表わされ，どのように扱われるか……山本欣子
bit 1969年08月号,26,ドクタービット
bit 1969年08月号,29,イリアック物語2……加賀美鉄雄，赤木昭夫
bit 1969年08月号,37,アレフ・ゼロ
bit 1969年08月号,38,市場調査の話⑥ 市場調査とコンピュータ――マーケティングにおいて，コンピュータの導入はどういう意味をもつか……門山允
bit 1969年08月号,44,EDPすぽっと――JIPDECジャーナル
bit 1969年08月号,49,OS入門②――オペレーティング・システムの構成……浦昭二，原田賢一
bit 1969年08月号,56,ぶっくす
bit 1969年08月号,59,PL/I⑥ ブロック構造――ブロック構造とはなにか。その静的，動的構造の意味を考える(中級向)……久保宏志
bit 1969年08月号,67,線形計画法⑥ 単体法の変形――現実問題へのアプローチをさらに追究するために単体法の変形を試みる……藤川洋一郎
bit 1969年08月号,74,タイル張りパズル……池野信一
bit 1969年08月号,76,プログラマーの資格――アメリカの場合……赤木昭夫
bit 1969年08月号,78,SCIENTIFIC APPLICATIONS④――バイオロジーにおける話題……飯坂譲二
bit 1969年08月号,87,読者の広場
bit 1969年08月号,88,コンピュータ・ニュース
bit 1969年08月号,90,ナノピコ教室
bit 1969年08月号,91,論理設計⑥ 順序回路(1)――内部状態&入力→出力&新しい状態，という動的なとらえ方(中級向)……萩原宏，奥川俊二
bit 1969年08月号,100,図解I/Oシリーズ④――磁気テープ装置
bit 1969年08月号,102,ソフトくん・ハードさん――日本科学技術情報センターの巻
bit 1969年09月号,1,表紙
bit 1969年09月号,3,フィルム紹介――FRONTIERS IN COMPUTER GRAPHICS
bit 1969年09月号,9,目次
bit 1969年09月号,11,「二十の扉」のことなど……伏見康治
bit 1969年09月号,12,電子計算機とは⑦ 実行プログラムの内容(2)――人手の書いたプログラムは計算機の中でどのように翻訳されるのか……小野勝章，伊理正夫
bit 1969年09月号,19,アレフ・ゼロ
bit 1969年09月号,20,プログラミング入門⑦ 判別――計算機が「考えられる」のは「判別する」能力を備えているからてある……山本欣子
bit 1969年09月号,25,ドクタービット
bit 1969年09月号,26,コンピュートピヤに生きる……戸塚文子
bit 1969年09月号,27,情報処理技術者認定制度について
bit 1969年09月号,31,OS入門③――オペレーティング・システムの技法……浦昭二，原田賢一
bit 1969年09月号,38,らくだという名の言語……犬伏茂之
bit 1969年09月号,42,単語帖
bit 1969年09月号,45,ナノピコ教室
bit 1969年09月号,46,ぶっくす
bit 1969年09月号,48,病院のオートメーション……開原成允
bit 1969年09月号,54,PL/I⑦ レコード処理――図書目録の更新という典型的な情報処理をPL/Iで行なうと・・・・・・(中級向)……久保宏志
bit 1969年09月号,63,グラビア解説
bit 1969年09月号,64,SCIENTIFIC APPLICATIONS 特別記事――こちらヒューストン……足立暁生
bit 1969年09月号,71,論理設計⑦ 順序回路(2)――1ビットの記憶素子フリップ・フロップの特性を知り回路を設計する(中級向)……萩原宏，奥川俊二
bit 1969年09月号,84,ドラゴンカーブ……池野信一
bit 1969年09月号,86,システムズ・エンジニアリング……中西義郎
bit 1969年09月号,94,コンピュータ・ニュース
bit 1969年09月号,96,読者の広場
